wave,flux,error
6205.015,2.947e-10,4.594e-13
6209.415,2.980e-10,4.621e-13
6213.814,3.040e-10,4.666e-13
6218.214,3.079e-10,4.697e-13
6222.614,3.129e-10,4.735e-13
6227.014,3.197e-10,4.787e-13
6231.414,3.263e-10,4.837e-13
6235.814,3.328e-10,4.886e-13
6240.214,3.378e-10,4.924e-13
6244.615,3.422e-10,4.957e-13
6249.015,3.447e-10,4.976e-13
6253.416,3.498e-10,5.014e-13
6257.817,3.541e-10,5.046e-13
6262.218,3.580e-10,5.075e-13
6266.619,3.618e-10,5.103e-13
6271.020,3.596e-10,5.090e-13
6275.421,3.603e-10,5.097e-13
6279.822,3.610e-10,5.103e-13
6284.224,3.601e-10,5.098e-13
6288.625,3.619e-10,5.112e-13
6293.027,3.644e-10,5.131e-13
6297.428,3.652e-10,5.138e-13
6301.830,3.658e-10,5.143e-13
6306.232,3.677e-10,5.158e-13
6310.634,3.667e-10,5.153e-13
6315.036,3.675e-10,5.161e-13
6319.439,3.675e-10,5.162e-13
6323.841,3.687e-10,5.173e-13
6328.244,3.717e-10,5.195e-13
6332.646,3.739e-10,5.213e-13
6337.049,3.736e-10,5.213e-13
6341.452,3.709e-10,5.195e-13
6345.854,3.743e-10,5.221e-13
6350.257,3.752e-10,5.229e-13
6354.661,3.728e-10,5.213e-13
6359.064,3.751e-10,5.232e-13
6363.467,3.749e-10,5.232e-13
6367.870,3.724e-10,5.217e-13
6372.274,3.758e-10,5.242e-13
6376.678,3.790e-10,5.266e-13
6381.081,3.780e-10,5.261e-13
6385.485,3.764e-10,5.252e-13
6389.889,3.749e-10,5.244e-13
6394.293,3.726e-10,5.230e-13
6398.697,3.681e-10,5.200e-13
6403.101,3.697e-10,5.213e-13
6407.506,3.681e-10,5.204e-13
6411.910,3.664e-10,5.194e-13
6416.314,3.631e-10,5.173e-13
6420.719,3.661e-10,5.196e-13
6425.124,3.663e-10,5.200e-13
6429.528,3.652e-10,5.195e-13
6433.933,3.622e-10,5.175e-13
6438.338,3.607e-10,5.166e-13
6442.743,3.597e-10,5.161e-13
6447.149,3.580e-10,5.151e-13
6451.554,3.589e-10,5.160e-13
6455.959,3.573e-10,5.150e-13
6460.365,3.577e-10,5.155e-13
6464.770,3.564e-10,5.149e-13
6469.176,3.559e-10,5.147e-13
6473.581,3.577e-10,5.162e-13
6477.987,3.555e-10,5.148e-13
6482.393,3.561e-10,5.156e-13
6486.799,3.563e-10,5.160e-13
6491.205,3.504e-10,5.119e-13
6495.611,3.501e-10,5.119e-13
6500.018,3.489e-10,5.113e-13
6504.424,3.553e-10,5.161e-13
6508.831,3.572e-10,5.178e-13
6513.237,3.602e-10,5.201e-13
6517.644,3.612e-10,5.211e-13
6522.050,3.605e-10,5.209e-13
6526.457,3.586e-10,5.197e-13
6530.864,3.618e-10,5.223e-13
6535.271,3.606e-10,5.217e-13
6539.678,3.570e-10,5.194e-13
6544.085,3.557e-10,5.187e-13
6548.493,3.520e-10,5.162e-13
6552.900,3.417e-10,5.089e-13
6557.307,3.238e-10,4.957e-13
6561.715,3.096e-10,4.850e-13
6566.122,3.070e-10,4.831e-13
6570.530,3.130e-10,4.881e-13
6574.938,3.269e-10,4.991e-13
6579.346,3.376e-10,5.075e-13
6583.754,3.433e-10,5.119e-13
6588.161,3.460e-10,5.142e-13
6592.570,3.458e-10,5.142e-13
6596.978,3.438e-10,5.131e-13
6601.386,3.443e-10,5.137e-13
6605.794,3.458e-10,5.151e-13
6610.203,3.454e-10,5.151e-13
