wave,flux,error
5590.387,1.260e-12,4.047e-15
5594.766,1.293e-12,4.096e-15
5599.146,1.309e-12,4.115e-15
5603.527,1.322e-12,4.134e-15
5607.907,1.328e-12,4.143e-15
5612.287,1.335e-12,4.150e-15
5616.668,1.333e-12,4.146e-15
5621.049,1.320e-12,4.126e-15
5625.430,1.348e-12,4.166e-15
5629.811,1.336e-12,4.151e-15
5634.192,1.355e-12,4.175e-15
5638.574,1.361e-12,4.177e-15
5642.955,1.343e-12,4.155e-15
5647.337,1.363e-12,4.184e-15
5651.719,1.341e-12,4.151e-15
5656.101,1.342e-12,4.149e-15
5660.483,1.332e-12,4.141e-15
5664.866,1.363e-12,4.181e-15
5669.248,1.352e-12,4.171e-15
5673.631,1.360e-12,4.186e-15
5678.014,1.364e-12,4.190e-15
5682.397,1.353e-12,4.178e-15
5686.780,1.355e-12,4.179e-15
5691.164,1.340e-12,4.164e-15
5695.547,1.330e-12,4.140e-15
5699.931,1.337e-12,4.141e-15
5704.315,1.322e-12,4.117e-15
5708.699,1.322e-12,4.114e-15
5713.083,1.327e-12,4.121e-15
5717.467,1.368e-12,4.176e-15
5721.852,1.363e-12,4.168e-15
5726.237,1.371e-12,4.182e-15
5730.621,1.365e-12,4.167e-15
5735.006,1.380e-12,4.184e-15
5739.392,1.385e-12,4.192e-15
5743.777,1.369e-12,4.171e-15
5748.162,1.346e-12,4.134e-15
5752.548,1.363e-12,4.161e-15
5756.934,1.348e-12,4.141e-15
5761.319,1.370e-12,4.176e-15
5765.705,1.372e-12,4.180e-15
5770.092,1.364e-12,4.169e-15
5774.478,1.351e-12,4.149e-15
5778.864,1.366e-12,4.165e-15
5783.251,1.364e-12,4.164e-15
5787.638,1.356e-12,4.149e-15
5792.025,1.383e-12,4.188e-15
5796.412,1.388e-12,4.192e-15
5800.799,1.403e-12,4.208e-15
5805.187,1.425e-12,4.234e-15
5809.574,1.417e-12,4.223e-15
5813.962,1.429e-12,4.236e-15
5818.350,1.437e-12,4.251e-15
5822.738,1.443e-12,4.255e-15
5827.126,1.462e-12,4.286e-15
5831.514,1.457e-12,4.275e-15
5835.902,1.461e-12,4.287e-15
5840.291,1.458e-12,4.272e-15
5844.680,1.447e-12,4.257e-15
5849.069,1.437e-12,4.238e-15
5853.458,1.428e-12,4.227e-15
5857.847,1.412e-12,4.209e-15
5862.236,1.420e-12,4.219e-15
5866.626,1.441e-12,4.245e-15
5871.015,1.457e-12,4.268e-15
5875.405,1.445e-12,4.252e-15
5879.795,1.442e-12,4.253e-15
5884.185,1.387e-12,4.175e-15
5888.575,1.366e-12,4.145e-15
5892.965,1.359e-12,4.137e-15
5897.356,1.377e-12,4.156e-15
5901.746,1.415e-12,4.211e-15
5906.137,1.429e-12,4.236e-15
5910.528,1.441e-12,4.248e-15
5914.919,1.444e-12,4.251e-15
5919.310,1.442e-12,4.248e-15
5923.701,1.439e-12,4.244e-15
5928.093,1.440e-12,4.245e-15
5932.484,1.424e-12,4.222e-15
5936.876,1.435e-12,4.235e-15
5941.268,1.449e-12,4.252e-15
5945.660,1.429e-12,4.219e-15
5950.052,1.418e-12,4.207e-15
5954.444,1.430e-12,4.225e-15
5958.836,1.412e-12,4.198e-15
5963.229,1.437e-12,4.235e-15
5967.622,1.410e-12,4.198e-15
5972.014,1.446e-12,4.248e-15
5976.407,1.422e-12,4.216e-15
5980.800,1.431e-12,4.227e-15
5985.193,1.420e-12,4.212e-15
5989.587,1.423e-12,4.215e-15
5993.980,1.431e-12,4.226e-15
5998.374,1.426e-12,4.220e-15
6002.768,1.427e-12,4.220e-15
6007.161,1.430e-12,4.226e-15
6011.555,1.400e-12,4.187e-15
6015.949,1.425e-12,4.221e-15
6020.344,1.428e-12,4.224e-15
6024.738,1.443e-12,4.243e-15
6029.133,1.441e-12,4.245e-15
6033.527,1.457e-12,4.267e-15
6037.922,1.460e-12,4.272e-15
6042.317,1.458e-12,4.267e-15
6046.712,1.470e-12,4.288e-15
6051.107,1.452e-12,4.264e-15
6055.502,1.469e-12,4.291e-15
6059.898,1.460e-12,4.276e-15
6064.293,1.454e-12,4.270e-15
6068.689,1.456e-12,4.273e-15
6073.085,1.452e-12,4.268e-15
6077.481,1.436e-12,4.245e-15
6081.877,1.410e-12,4.212e-15
6086.273,1.419e-12,4.223e-15
6090.669,1.410e-12,4.210e-15
6095.065,1.429e-12,4.237e-15
6099.462,1.392e-12,4.190e-15
6103.859,1.421e-12,4.234e-15
6108.255,1.415e-12,4.228e-15
6112.652,1.394e-12,4.197e-15
6117.049,1.372e-12,4.170e-15
6121.447,1.390e-12,4.191e-15
6125.844,1.354e-12,4.134e-15
6130.241,1.316e-12,4.073e-15
6134.639,1.301e-12,4.050e-15
6139.036,1.293e-12,4.038e-15
6143.434,1.288e-12,4.029e-15
6147.832,1.275e-12,4.013e-15
6152.230,1.265e-12,3.995e-15
6156.628,1.259e-12,3.987e-15
6161.026,1.238e-12,3.953e-15
6165.425,1.236e-12,3.947e-15
6169.823,1.221e-12,3.920e-15
6174.222,1.228e-12,3.932e-15
6178.620,1.208e-12,3.904e-15
6183.019,1.206e-12,3.893e-15
6187.418,1.216e-12,3.910e-15
6191.817,1.189e-12,3.867e-15
6196.216,1.202e-12,3.891e-15
6200.616,1.221e-12,3.915e-15
6205.015,1.232e-12,3.935e-15
6209.415,1.238e-12,3.943e-15
6213.814,1.225e-12,3.925e-15
6218.214,1.243e-12,3.951e-15
6222.614,1.262e-12,3.980e-15
6227.014,1.265e-12,3.988e-15
6231.414,1.267e-12,3.989e-15
6235.814,1.305e-12,4.050e-15
6240.214,1.304e-12,4.048e-15
6244.615,1.329e-12,4.084e-15
6249.015,1.332e-12,4.087e-15
6253.416,1.336e-12,4.098e-15
6257.817,1.373e-12,4.151e-15
6262.218,1.398e-12,4.185e-15
6266.619,1.403e-12,4.193e-15
6271.020,1.410e-12,4.203e-15
6275.421,1.409e-12,4.200e-15
6279.822,1.399e-12,4.186e-15
6284.224,1.398e-12,4.187e-15
6288.625,1.403e-12,4.192e-15
6293.027,1.427e-12,4.229e-15
6297.428,1.421e-12,4.226e-15
6301.830,1.413e-12,4.219e-15
6306.232,1.423e-12,4.235e-15
6310.634,1.426e-12,4.236e-15
6315.036,1.439e-12,4.253e-15
6319.439,1.438e-12,4.248e-15
6323.841,1.451e-12,4.270e-15
6328.244,1.469e-12,4.299e-15
6332.646,1.469e-12,4.296e-15
6337.049,1.448e-12,4.272e-15
6341.452,1.468e-12,4.294e-15
6345.854,1.456e-12,4.278e-15
6350.257,1.470e-12,4.300e-15
6354.661,1.449e-12,4.272e-15
