wave,flux,error
5053.058,2.206e-11,6.669e-14
5057.415,2.197e-11,6.646e-14
5061.772,2.138e-11,6.550e-14
5066.128,2.073e-11,6.445e-14
5070.486,2.026e-11,6.367e-14
5074.843,1.992e-11,6.303e-14
5079.200,1.974e-11,6.271e-14
5083.558,1.958e-11,6.240e-14
5087.916,1.970e-11,6.253e-14
5092.274,1.968e-11,6.240e-14
5096.633,1.912e-11,6.150e-14
5100.991,1.946e-11,6.196e-14
5105.350,1.996e-11,6.269e-14
5109.709,2.049e-11,6.343e-14
5114.068,2.119e-11,6.442e-14
5118.428,2.155e-11,6.489e-14
5122.787,2.186e-11,6.532e-14
5127.147,2.209e-11,6.556e-14
5131.507,2.222e-11,6.572e-14
5135.867,2.256e-11,6.615e-14
5140.228,2.263e-11,6.621e-14
5144.589,2.266e-11,6.618e-14
5148.949,2.287e-11,6.646e-14
5153.310,2.263e-11,6.605e-14
5157.672,2.175e-11,6.473e-14
5162.033,2.095e-11,6.345e-14
5166.395,2.044e-11,6.262e-14
5170.757,2.036e-11,6.243e-14
5175.119,2.093e-11,6.328e-14
5179.481,2.108e-11,6.345e-14
5183.844,2.057e-11,6.266e-14
5188.206,2.129e-11,6.363e-14
5192.569,2.165e-11,6.413e-14
5196.932,2.149e-11,6.385e-14
5201.296,2.168e-11,6.405e-14
5205.659,2.133e-11,6.352e-14
5210.023,2.137e-11,6.356e-14
5214.387,2.155e-11,6.375e-14
5218.751,2.132e-11,6.335e-14
5223.115,2.136e-11,6.337e-14
5227.480,2.128e-11,6.324e-14
5231.844,2.173e-11,6.383e-14
5236.209,2.228e-11,6.461e-14
5240.574,2.262e-11,6.503e-14
5244.939,2.255e-11,6.488e-14
5249.305,2.268e-11,6.505e-14
5253.671,2.240e-11,6.460e-14
5258.037,2.169e-11,6.353e-14
5262.403,2.157e-11,6.336e-14
5266.769,2.140e-11,6.305e-14
5271.135,2.191e-11,6.377e-14
5275.502,2.257e-11,6.466e-14
5279.869,2.307e-11,6.535e-14
5284.236,2.311e-11,6.538e-14
5288.603,2.321e-11,6.547e-14
5292.970,2.321e-11,6.547e-14
5297.338,2.299e-11,6.513e-14
5301.706,2.323e-11,6.542e-14
5306.074,2.292e-11,6.500e-14
5310.442,2.262e-11,6.453e-14
5314.810,2.173e-11,6.326e-14
5319.179,2.081e-11,6.188e-14
5323.548,2.069e-11,6.168e-14
5327.917,2.019e-11,6.095e-14
5332.286,2.009e-11,6.078e-14
5336.655,2.034e-11,6.116e-14
5341.025,1.988e-11,6.045e-14
5345.394,1.978e-11,6.027e-14
5349.764,1.950e-11,5.986e-14
5354.134,1.889e-11,5.889e-14
5358.505,1.804e-11,5.759e-14
5362.875,1.755e-11,5.678e-14
5367.246,1.685e-11,5.564e-14
5371.616,1.623e-11,5.463e-14
5375.988,1.638e-11,5.489e-14
5380.359,1.559e-11,5.350e-14
5384.730,1.495e-11,5.246e-14
5389.102,1.446e-11,5.158e-14
5393.473,1.382e-11,5.046e-14
5397.845,1.324e-11,4.940e-14
5402.217,1.292e-11,4.880e-14
5406.590,1.230e-11,4.762e-14
5410.962,1.182e-11,4.673e-14
5415.335,1.177e-11,4.666e-14
5419.708,1.113e-11,4.540e-14
5424.081,1.125e-11,4.565e-14
5428.454,1.141e-11,4.593e-14
5432.827,1.200e-11,4.709e-14
5437.201,1.265e-11,4.831e-14
5441.575,1.357e-11,5.000e-14
5445.949,1.443e-11,5.156e-14
5450.323,1.583e-11,5.394e-14
5454.697,1.697e-11,5.584e-14
5459.071,1.816e-11,5.771e-14
5463.446,1.898e-11,5.895e-14
5467.821,2.000e-11,6.044e-14
5472.196,2.053e-11,6.118e-14
5476.571,2.125e-11,6.217e-14
5480.946,2.201e-11,6.325e-14
5485.322,2.232e-11,6.364e-14
5489.698,2.293e-11,6.444e-14
5494.074,2.313e-11,6.468e-14
5498.450,2.280e-11,6.420e-14
5502.826,2.301e-11,6.441e-14
5507.202,2.288e-11,6.422e-14
5511.579,2.339e-11,6.484e-14
5515.956,2.301e-11,6.426e-14
5520.332,2.293e-11,6.410e-14
5524.710,2.230e-11,6.314e-14
5529.087,2.240e-11,6.321e-14
5533.464,2.200e-11,6.262e-14
5537.842,2.221e-11,6.287e-14
5542.220,2.194e-11,6.243e-14
5546.598,2.193e-11,6.236e-14
5550.976,2.167e-11,6.198e-14
5555.354,2.135e-11,6.149e-14
5559.733,2.129e-11,6.137e-14
5564.111,2.110e-11,6.106e-14
5568.490,2.119e-11,6.115e-14
5572.869,2.129e-11,6.129e-14
5577.248,2.097e-11,6.078e-14
5581.627,2.120e-11,6.112e-14
5586.007,2.089e-11,6.064e-14
5590.387,2.118e-11,6.102e-14
