file,DATE-OBS,IMAGETYP,OBJECT
C:\SNU\2022_2\AO2\data\calibration-0004dk6.fit,2022-11-04T18:48:45,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0004dk60.fit,2022-11-04T18:58:31,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0004dk600.fit,2022-11-04T20:52:05,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0004dk900.fit,2022-11-04T22:37:55,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0005bias.fit,2022-11-04T18:43:11,Bias Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0005dk02.fit,2022-11-04T18:44:01,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0005dk1.fit,2022-11-04T18:44:56,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0005dk15.fit,2022-11-04T19:34:15,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0005dk180.fit,2022-11-04T19:17:26,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0005dk3.fit,2022-11-04T18:46:03,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0005dk30.fit,2022-11-04T18:52:16,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0005dk300.fit,2022-11-04T19:56:20,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0005dk4.fit,2022-11-04T18:47:23,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0005dk6.fit,2022-11-04T18:48:57,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0005dk60.fit,2022-11-04T18:59:36,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0005dk600.fit,2022-11-04T21:02:10,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0005dk900.fit,2022-11-04T22:53:00,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0006bias.fit,2022-11-04T18:43:17,Bias Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0006dk02.fit,2022-11-04T18:44:07,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0006dk1.fit,2022-11-04T18:45:03,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0006dk15.fit,2022-11-04T19:34:36,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0006dk180.fit,2022-11-04T19:20:31,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0006dk3.fit,2022-11-04T18:46:11,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0006dk30.fit,2022-11-04T18:52:52,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0006dk300.fit,2022-11-04T20:01:26,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0006dk4.fit,2022-11-04T18:47:33,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0006dk6.fit,2022-11-04T18:49:08,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0006dk60.fit,2022-11-04T19:00:42,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0006dk600.fit,2022-11-04T21:12:16,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0006dk900.fit,2022-11-04T23:08:06,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0007bias.fit,2022-11-04T18:43:22,Bias Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0007dk02.fit,2022-11-04T18:44:13,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0007dk1.fit,2022-11-04T18:45:09,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0007dk15.fit,2022-11-04T19:34:56,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0007dk180.fit,2022-11-04T19:23:37,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0007dk3.fit,2022-11-04T18:46:20,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0007dk30.fit,2022-11-04T18:53:27,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0007dk300.fit,2022-11-04T20:06:31,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0007dk4.fit,2022-11-04T18:47:42,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0007dk6.fit,2022-11-04T18:49:20,Dark Frame,calibration
