wave,flux,error
4974.678,4.105e-09,4.516e-12
4979.031,4.032e-09,4.470e-12
4983.384,4.015e-09,4.452e-12
4987.737,4.072e-09,4.479e-12
4992.090,4.104e-09,4.489e-12
4996.444,4.061e-09,4.459e-12
5000.797,4.001e-09,4.418e-12
5005.151,3.935e-09,4.375e-12
5009.505,3.930e-09,4.366e-12
5013.860,3.933e-09,4.362e-12
5018.214,3.975e-09,4.378e-12
5022.569,4.044e-09,4.409e-12
5026.924,4.075e-09,4.421e-12
5031.279,4.077e-09,4.414e-12
5035.635,4.048e-09,4.393e-12
5039.990,4.025e-09,4.375e-12
5044.346,4.109e-09,4.412e-12
5048.702,4.166e-09,4.435e-12
5053.058,4.212e-09,4.454e-12
5057.415,4.240e-09,4.461e-12
5061.772,4.214e-09,4.443e-12
5066.128,4.159e-09,4.408e-12
5070.486,4.126e-09,4.383e-12
5074.843,4.110e-09,4.367e-12
5079.200,4.099e-09,4.356e-12
5083.558,4.134e-09,4.366e-12
5087.916,4.169e-09,4.379e-12
5092.274,4.187e-09,4.382e-12
5096.633,4.140e-09,4.352e-12
5100.991,4.164e-09,4.357e-12
5105.350,4.183e-09,4.361e-12
5109.709,4.221e-09,4.375e-12
5114.068,4.214e-09,4.365e-12
5118.428,4.193e-09,4.346e-12
5122.787,4.140e-09,4.313e-12
5127.147,4.085e-09,4.279e-12
5131.507,4.076e-09,4.267e-12
5135.867,4.074e-09,4.261e-12
5140.228,4.056e-09,4.244e-12
5144.589,4.068e-09,4.246e-12
5148.949,4.083e-09,4.246e-12
5153.310,4.082e-09,4.240e-12
5157.672,3.981e-09,4.180e-12
5162.033,3.808e-09,4.084e-12
5166.395,3.657e-09,3.996e-12
5170.757,3.644e-09,3.984e-12
5175.119,3.720e-09,4.017e-12
5179.481,3.785e-09,4.047e-12
5183.844,3.827e-09,4.062e-12
5188.206,3.898e-09,4.095e-12
5192.569,3.992e-09,4.137e-12
5196.932,4.072e-09,4.171e-12
5201.296,4.080e-09,4.169e-12
5205.659,4.082e-09,4.166e-12
5210.023,4.111e-09,4.173e-12
5214.387,4.130e-09,4.177e-12
5218.751,4.123e-09,4.166e-12
5223.115,4.081e-09,4.141e-12
5227.480,4.073e-09,4.132e-12
5231.844,4.134e-09,4.157e-12
5236.209,4.201e-09,4.185e-12
5240.574,4.241e-09,4.200e-12
5244.939,4.238e-09,4.193e-12
5249.305,4.212e-09,4.175e-12
5253.671,4.148e-09,4.139e-12
5258.037,4.031e-09,4.075e-12
5262.403,3.917e-09,4.012e-12
5266.769,3.878e-09,3.989e-12
5271.135,3.946e-09,4.018e-12
5275.502,4.093e-09,4.087e-12
5279.869,4.202e-09,4.138e-12
5284.236,4.256e-09,4.159e-12
5288.603,4.280e-09,4.167e-12
5292.970,4.274e-09,4.158e-12
5297.338,4.272e-09,4.153e-12
5301.706,4.288e-09,4.158e-12
5306.074,4.327e-09,4.174e-12
5310.442,4.334e-09,4.173e-12
5314.810,4.263e-09,4.136e-12
5319.179,4.172e-09,4.088e-12
5323.548,4.099e-09,4.049e-12
5327.917,4.085e-09,4.039e-12
5332.286,4.122e-09,4.055e-12
5336.655,4.185e-09,4.080e-12
5341.025,4.209e-09,4.089e-12
5345.394,4.232e-09,4.097e-12
5349.764,4.279e-09,4.118e-12
5354.134,4.292e-09,4.121e-12
5358.505,4.262e-09,4.104e-12
5362.875,4.182e-09,4.064e-12
5367.246,4.139e-09,4.042e-12
5371.616,4.147e-09,4.042e-12
5375.988,4.172e-09,4.052e-12
5380.359,4.177e-09,4.051e-12
5384.730,4.121e-09,4.023e-12
5389.102,4.075e-09,3.999e-12
5393.473,3.992e-09,3.956e-12
5397.845,3.936e-09,3.928e-12
5402.217,3.919e-09,3.917e-12
5406.590,3.914e-09,3.914e-12
5410.962,3.947e-09,3.927e-12
5415.335,3.986e-09,3.946e-12
5419.708,3.993e-09,3.949e-12
5424.081,3.979e-09,3.940e-12
5428.454,3.999e-09,3.946e-12
5432.827,4.013e-09,3.952e-12
5437.201,4.066e-09,3.977e-12
5441.575,4.128e-09,4.005e-12
5445.949,4.153e-09,4.013e-12
5450.323,4.187e-09,4.028e-12
5454.697,4.208e-09,4.035e-12
5459.071,4.224e-09,4.038e-12
5463.446,4.230e-09,4.039e-12
5467.821,4.230e-09,4.036e-12
5472.196,4.213e-09,4.024e-12
5476.571,4.209e-09,4.019e-12
5480.946,4.221e-09,4.021e-12
5485.322,4.257e-09,4.033e-12
5489.698,4.261e-09,4.031e-12
5494.074,4.251e-09,4.023e-12
5498.450,4.227e-09,4.007e-12
5502.826,4.215e-09,3.997e-12
5507.202,4.224e-09,3.996e-12
5511.579,4.233e-09,3.994e-12
5515.956,4.243e-09,3.994e-12
5520.332,4.219e-09,3.978e-12
5524.710,4.190e-09,3.959e-12
5529.087,4.193e-09,3.955e-12
5533.464,4.231e-09,3.968e-12
5537.842,4.253e-09,3.971e-12
5542.220,4.283e-09,3.982e-12
5546.598,4.282e-09,3.978e-12
5550.976,4.264e-09,3.965e-12
5555.354,4.252e-09,3.955e-12
5559.733,4.214e-09,3.935e-12
5564.111,4.190e-09,3.919e-12
5568.490,4.183e-09,3.913e-12
5572.869,4.164e-09,3.900e-12
5577.248,4.163e-09,3.898e-12
5581.627,4.140e-09,3.883e-12
5586.007,4.114e-09,3.870e-12
5590.387,4.088e-09,3.855e-12
5594.766,4.123e-09,3.870e-12
5599.146,4.162e-09,3.886e-12
5603.527,4.200e-09,3.903e-12
5607.907,4.225e-09,3.912e-12
5612.287,4.209e-09,3.905e-12
5616.668,4.199e-09,3.898e-12
5621.049,4.219e-09,3.907e-12
5625.430,4.228e-09,3.911e-12
5629.811,4.239e-09,3.916e-12
5634.192,4.259e-09,3.923e-12
5638.574,4.241e-09,3.915e-12
5642.955,4.218e-09,3.904e-12
5647.337,4.217e-09,3.903e-12
5651.719,4.198e-09,3.893e-12
5656.101,4.153e-09,3.872e-12
5660.483,4.152e-09,3.872e-12
5664.866,4.187e-09,3.887e-12
5669.248,4.227e-09,3.904e-12
5673.631,4.226e-09,3.903e-12
5678.014,4.197e-09,3.889e-12
5682.397,4.174e-09,3.877e-12
5686.780,4.156e-09,3.868e-12
5691.164,4.140e-09,3.861e-12
5695.547,4.131e-09,3.856e-12
5699.931,4.107e-09,3.844e-12
5704.315,4.081e-09,3.831e-12
5708.699,4.074e-09,3.827e-12
5713.083,4.099e-09,3.838e-12
5717.467,4.156e-09,3.865e-12
5721.852,4.209e-09,3.888e-12
5726.237,4.217e-09,3.890e-12
5730.621,4.217e-09,3.889e-12
5735.006,4.204e-09,3.883e-12
5739.392,4.179e-09,3.871e-12
5743.777,4.170e-09,3.866e-12
5748.162,4.127e-09,3.845e-12
5752.548,4.093e-09,3.829e-12
5756.934,4.112e-09,3.836e-12
5761.319,4.119e-09,3.839e-12
5765.705,4.133e-09,3.844e-12
5770.092,4.139e-09,3.847e-12
5774.478,4.132e-09,3.843e-12
5778.864,4.082e-09,3.820e-12
5783.251,4.092e-09,3.824e-12
5787.638,4.112e-09,3.832e-12
5792.025,4.148e-09,3.847e-12
5796.412,4.171e-09,3.858e-12
5800.799,4.193e-09,3.867e-12
5805.187,4.212e-09,3.875e-12
5809.574,4.232e-09,3.882e-12
5813.962,4.246e-09,3.889e-12
5818.350,4.274e-09,3.900e-12
5822.738,4.282e-09,3.903e-12
5827.126,4.307e-09,3.914e-12
5831.514,4.300e-09,3.911e-12
5835.902,4.322e-09,3.918e-12
5840.291,4.311e-09,3.914e-12
5844.680,4.278e-09,3.897e-12
5849.069,4.232e-09,3.876e-12
5853.458,4.184e-09,3.854e-12
5857.847,4.159e-09,3.842e-12
5862.236,4.167e-09,3.845e-12
5866.626,4.205e-09,3.863e-12
5871.015,4.218e-09,3.867e-12
5875.405,4.193e-09,3.856e-12
5879.795,4.114e-09,3.819e-12
5884.185,3.992e-09,3.763e-12
5888.575,3.906e-09,3.721e-12
5892.965,3.873e-09,3.707e-12
5897.356,3.916e-09,3.727e-12
5901.746,4.009e-09,3.769e-12
5906.137,4.095e-09,3.809e-12
5910.528,4.128e-09,3.826e-12
5914.919,4.122e-09,3.822e-12
5919.310,4.110e-09,3.817e-12
5923.701,4.119e-09,3.820e-12
5928.093,4.118e-09,3.819e-12
5932.484,4.093e-09,3.810e-12
5936.876,4.088e-09,3.808e-12
5941.268,4.072e-09,3.800e-12
5945.660,4.047e-09,3.789e-12
5950.052,4.038e-09,3.786e-12
5954.444,4.047e-09,3.790e-12
5958.836,4.068e-09,3.799e-12
5963.229,4.081e-09,3.807e-12
5967.622,4.072e-09,3.803e-12
5972.014,4.044e-09,3.790e-12
5976.407,4.018e-09,3.779e-12
5980.800,4.013e-09,3.778e-12
5985.193,3.990e-09,3.768e-12
5989.587,4.002e-09,3.775e-12
5993.980,4.007e-09,3.777e-12
5998.374,4.017e-09,3.782e-12
6002.768,3.997e-09,3.773e-12
6007.161,3.971e-09,3.764e-12
6011.555,3.953e-09,3.755e-12
6015.949,4.022e-09,3.789e-12
6020.344,4.045e-09,3.801e-12
6024.738,4.068e-09,3.814e-12
6029.133,4.086e-09,3.824e-12
6033.527,4.125e-09,3.841e-12
6037.922,4.118e-09,3.840e-12
6042.317,4.138e-09,3.851e-12
6046.712,4.141e-09,3.854e-12
6051.107,4.138e-09,3.852e-12
6055.502,4.128e-09,3.849e-12
6059.898,4.109e-09,3.841e-12
6064.293,4.096e-09,3.837e-12
6068.689,4.101e-09,3.839e-12
